Date,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-02-11T20:59:59+11:00,"Wednesday, 10 Feb 2021","Thursday, 11 Feb 2021",10/02/2021 21:15,11/02/2021 5:58,8:43:00,0:00:00,0:00:00,1,8:43:00,8:29:42,100,99.3,7:41:16,7:32:15,3:19:58,3:03:53,57.1,53.9,72.5,73.1,57,53.1,84,91
2021-02-12T20:59:59+11:00,"Thursday, 11 Feb 2021","Friday, 12 Feb 2021",11/02/2021 21:15,12/02/2021 5:45,8:30:00,0:15:00,0:00:00,1,8:15:00,8:24:34,97.1,98.9,7:20:24,7:28:26,3:15:00,3:04:58,55.1,54.3,77.4,74.1,55,53.3,113,93
2021-02-13T20:59:59+11:00,"Friday, 12 Feb 2021","Saturday, 13 Feb 2021",12/02/2021 21:15,13/02/2021 5:51,8:36:00,0:00:00,0:00:00,1,8:36:00,8:24:17,100,98.9,7:37:35,7:30:58,3:17:18,3:15:45,55.8,54.6,,,55,53.7,61,87
2021-02-15T20:59:59+11:00,"Sunday, 14 Feb 2021","Monday, 15 Feb 2021",14/02/2021 22:00,15/02/2021 6:50,8:50:00,0:00:00,0:00:00,1,8:50:00,8:20:08,100,98.9,8:22:22,7:33:56,4:32:34,3:35:16,56.5,55.2,75,75.5,56,54.1,59,82
2021-02-16T20:59:59+11:00,"Monday, 15 Feb 2021","Tuesday, 16 Feb 2021",15/02/2021 21:00,16/02/2021 5:03,8:03:00,0:00:00,0:00:00,1,8:03:00,8:23:17,100,99.1,6:50:24,7:31:59,2:04:39,3:24:32,54.8,55.5,75,74.8,53,54.7,56,76
2021-02-17T20:59:59+11:00,"Tuesday, 16 Feb 2021","Wednesday, 17 Feb 2021",16/02/2021 21:16,17/02/2021 5:45,8:29:00,0:00:00,0:00:00,1,8:29:00,8:30:42,100,99.6,7:38:18,7:39:09,3:29:35,3:26:11,54.7,55.6,72.7,75.1,53,54.9,74,75
2021-02-18T20:59:59+11:00,"Wednesday, 17 Feb 2021","Thursday, 18 Feb 2021",17/02/2021 21:15,18/02/2021 5:59,8:44:00,0:00:00,0:00:00,1,8:44:00,8:31:25,100,99.6,7:18:37,7:32:42,2:18:42,3:11:06,54.2,55.5,74.7,75,55,54.9,72,74
2021-02-19T20:59:59+11:00,"Thursday, 18 Feb 2021","Friday, 19 Feb 2021",18/02/2021 21:15,19/02/2021 5:30,8:15:00,0:45:00,0:00:00,1,7:30:00,8:21:00,90.9,98.3,6:43:03,7:24:23,2:30:00,3:03:58,55.9,55.3,72.9,75,54,54.4,80,74
2021-02-20T20:59:59+11:00,"Friday, 19 Feb 2021","Saturday, 20 Feb 2021",19/02/2021 21:15,20/02/2021 6:59,9:44:00,0:00:00,0:00:00,1,9:44:00,8:33:42,100,98.7,8:33:21,7:34:48,2:49:03,3:00:15,56,55.4,87.4,76.4,55,54.4,69,67
2021-02-21T20:59:59+11:00,"Saturday, 20 Feb 2021","Sunday, 21 Feb 2021",20/02/2021 23:03,21/02/2021 5:45,6:42:00,0:00:00,0:00:00,1,6:42:00,8:17:25,100,98.7,5:38:32,7:17:48,2:28:53,2:53:20,62.2,56.3,75.2,76.1,59,55,56,67
